FlightDate,Reporting_Airline,Flight_Number_Reporting_Airline,Origin,Dest,CRSDepTime,CRSArrTime,CRSElapsedTime,DepDelay,ArrDelay,Cancelled,Diverted
2025-01-01,DL,996,ATL,LAX,0725,0940,315.00,-2.00,3.00,0.00,0.00
2025-01-01,DL,1178,ATL,ORD,0730,0840,130.00,-6.00,6.00,0.00,0.00
2025-01-01,DL,444,ATL,SEA,0750,1045,355.00,-6.00,-19.00,0.00,0.00
2025-01-01,DL,346,ATL,DEN,0800,0927,207.00,-5.00,0.00,0.00,0.00
2025-01-01,DL,849,ATL,BOS,0821,1058,157.00,6.00,9.00,0.00,0.00
2025-01-01,DL,898,ATL,LAX,0855,1050,295.00,4.00,17.00,0.00,0.00
2025-01-01,DL,774,ATL,SEA,0940,1230,350.00,0.00,-18.00,0.00,0.00
2025-01-01,DL,995,ATL,DEN,1010,1142,212.00,35.00,35.00,0.00,0.00
2025-01-01,DL,501,ATL,LAX,1010,1220,310.00,3.00,15.00,0.00,0.00
2025-01-01,DL,855,ATL,BOS,1035,1311,156.00,-3.00,-19.00,0.00,0.00
2025-01-01,DL,895,ATL,LAX,1129,1340,311.00,-2.00,23.00,0.00,0.00
2025-01-01,DL,1477,ATL,ORD,1130,1232,122.00,49.00,36.00,0.00,0.00
2025-01-01,DL,629,ATL,SEA,1149,1436,347.00,-3.00,-22.00,0.00,0.00
2025-01-01,DL,706,ATL,DEN,1151,1313,202.00,-7.00,-4.00,0.00,0.00
2025-01-01,DL,687,ATL,LAX,1240,1434,294.00,17.00,34.00,0.00,0.00
2025-01-01,DL,350,ATL,BOS,1242,1505,143.00,-1.00,-11.00,0.00,0.00
2025-01-01,DL,396,ATL,DEN,1355,1515,200.00,-10.00,-2.00,0.00,0.00
2025-01-01,DL,481,ATL,SEA,1430,1713,343.00,0.00,6.00,0.00,0.00
2025-01-01,DL,726,ATL,BOS,1445,1720,155.00,-6.00,-24.00,0.00,0.00
2025-01-01,DL,753,ATL,LAX,1445,1649,304.00,-4.00,8.00,0.00,0.00
2025-01-01,DL,2738,ATL,ORD,1510,1612,122.00,2.00,-5.00,0.00,0.00
2025-01-01,DL,519,ATL,DEN,1550,1712,202.00,19.00,20.00,0.00,0.00
2025-01-01,DL,301,ATL,LAX,1550,1745,295.00,11.00,18.00,0.00,0.00
2025-01-01,DL,821,ATL,BOS,1652,1928,156.00,2.00,-22.00,0.00,0.00
2025-01-01,DL,502,ATL,LAX,1655,1850,295.00,-6.00,-3.00,0.00,0.00
2025-01-01,DL,675,ATL,SEA,1801,2050,349.00,-4.00,-8.00,0.00,0.00
2025-01-01,DL,2879,ATL,ORD,1805,1914,129.00,-2.00,-4.00,0.00,0.00
2025-01-01,DL,300,ATL,BOS,1811,2048,157.00,-4.00,-18.00,0.00,0.00
2025-01-01,DL,746,ATL,DEN,1812,1938,206.00,-4.00,6.00,0.00,0.00
2025-01-01,DL,500,ATL,LAX,1815,2014,299.00,0.00,83.00,0.00,0.00
2025-01-01,DL,319,ATL,LAX,1930,2143,313.00,-3.00,-2.00,0.00,0.00
2025-01-01,DL,493,ATL,DEN,2021,2145,204.00,6.00,5.00,0.00,0.00
2025-01-01,DL,971,ATL,BOS,2050,2323,153.00,-2.00,-21.00,0.00,0.00
2025-01-01,DL,903,ATL,SEA,2135,0024,349.00,-1.00,-13.00,0.00,0.00
2025-01-01,DL,865,ATL,BOS,2225,0050,145.00,10.00,-10.00,0.00,0.00
2025-01-01,DL,575,ATL,LAX,2225,0033,308.00,1.00,-9.00,0.00,0.00
2025-01-01,DL,1199,ATL,ORD,2250,2356,126.00,-10.00,-9.00,0.00,0.00
2025-01-01,DL,695,BOS,ATL,0540,0850,190.00,-1.00,-23.00,0.00,0.00
2025-01-01,DL,923,BOS,ATL,0655,0957,182.00,270.00,262.00,0.00,0.00
2025-01-01,DL,456,BOS,ATL,0834,1140,186.00,5.00,-9.00,0.00,0.00
2025-01-01,DL,973,BOS,ATL,1016,1320,184.00,-2.00,-15.00,0.00,0.00
2025-01-01,DL,376,BOS,ATL,1208,1510,182.00,-5.00,-14.00,0.00,0.00
2025-01-01,DL,322,BOS,ATL,1400,1702,182.00,-5.00,-5.00,0.00,0.00
2025-01-01,DL,963,BOS,ATL,1640,1939,179.00,14.00,19.00,0.00,0.00
2025-01-01,DL,385,BOS,ATL,1835,2145,190.00,-4.00,-25.00,0.00,0.00
2025-01-01,DL,341,DEN,ATL,0600,1056,176.00,21.00,39.00,0.00,0.00
2025-01-01,DL,431,DEN,ATL,0705,1159,174.00,-6.00,5.00,0.00,0.00
2025-01-01,DL,957,DEN,ATL,0805,1305,180.00,5.00,2.00,0.00,0.00
2025-01-01,DL,2781,DEN,ATL,1051,1542,171.00,-4.00,-26.00,0.00,0.00
2025-01-01,DL,995,DEN,ATL,1247,1738,171.00,35.00,11.00,0.00,0.00
2025-01-01,DL,706,DEN,ATL,1455,1954,179.00,-6.00,-7.00,0.00,0.00
2025-01-01,DL,396,DEN,ATL,1620,2114,174.00,-4.00,-28.00,0.00,0.00
2025-01-01,DL,390,LAX,ATL,0620,1328,248.00,12.00,-8.00,0.00,0.00
2025-01-01,DL,782,LAX,ATL,0725,1432,247.00,7.00,-12.00,0.00,0.00
2025-01-01,DL,515,LAX,ATL,0825,1534,249.00,-5.00,5.00,0.00,0.00
2025-01-01,DL,327,LAX,ATL,0930,1649,259.00,0.00,-24.00,0.00,0.00
2025-01-01,DL,528,LAX,ATL,1050,1814,264.00,-1.00,-24.00,0.00,0.00
2025-01-01,DL,395,LAX,ATL,1235,1947,252.00,11.00,-1.00,0.00,0.00
2025-01-01,DL,715,LAX,ATL,1415,2124,249.00,-2.00,-9.00,0.00,0.00
2025-01-01,DL,471,LAX,ATL,1615,2331,256.00,6.00,-25.00,0.00,0.00
2025-01-01,DL,783,LAX,ATL,2159,0516,257.00,45.00,19.00,0.00,0.00
2025-01-01,DL,899,LAX,ATL,2259,0612,253.00,3.00,-9.00,0.00,0.00
2025-01-01,DL,320,LAX,ATL,2359,0721,262.00,-1.00,-10.00,0.00,0.00
2025-01-01,DL,1264,ORD,ATL,0545,0850,125.00,-2.00,22.00,0.00,0.00
2025-01-01,DL,1247,ORD,ATL,0705,1010,125.00,6.00,-2.00,0.00,0.00
2025-01-01,DL,1178,ORD,ATL,1000,1310,130.00,6.00,18.00,0.00,0.00
2025-01-01,DL,1477,ORD,ATL,1345,1642,117.00,29.00,13.00,0.00,0.00
2025-01-01,DL,2738,ORD,ATL,1757,2100,123.00,-4.00,-25.00,0.00,0.00
2025-01-01,DL,569,SEA,ATL,0615,1402,287.00,1.00,-42.00,0.00,0.00
2025-01-01,DL,562,SEA,ATL,0820,1616,296.00,26.00,-12.00,0.00,0.00
2025-01-01,DL,554,SEA,ATL,1015,1813,298.00,0.00,-41.00,0.00,0.00
2025-01-01,DL,542,SEA,ATL,1155,1949,294.00,0.00,-20.00,0.00,0.00
2025-01-01,DL,552,SEA,ATL,1545,2332,287.00,-4.00,-23.00,0.00,0.00
2025-01-01,DL,567,SEA,ATL,2245,0630,285.00,15.00,-7.00,0.00,0.00
2025-01-02,DL,8814,ATL,LAX,0625,0840,315.00,37.00,73.00,0.00,0.00
2025-01-02,DL,987,ATL,BOS,0705,0946,161.00,1.00,43.00,0.00,0.00
2025-01-02,DL,996,ATL,LAX,0725,0940,315.00,-2.00,-21.00,0.00,0.00
2025-01-02,DL,1178,ATL,ORD,0730,0840,130.00,-1.00,45.00,0.00,0.00
2025-01-02,DL,444,ATL,SEA,0750,1045,355.00,1.00,29.00,0.00,0.00
2025-01-02,DL,346,ATL,DEN,0800,0927,207.00,81.00,98.00,0.00,0.00
2025-01-02,DL,849,ATL,BOS,0821,1058,157.00,1.00,26.00,0.00,0.00
2025-01-02,DL,898,ATL,LAX,0855,1050,295.00,0.00,85.00,0.00,0.00
2025-01-02,DL,8807,ATL,LAX,0915,1130,315.00,-2.00,-24.00,0.00,0.00
2025-01-02,DL,774,ATL,SEA,0940,1230,350.00,0.00,64.00,0.00,0.00
2025-01-02,DL,855,ATL,BOS,1000,1229,149.00,0.00,37.00,0.00,0.00
2025-01-02,DL,995,ATL,DEN,1010,1142,212.00,2.00,18.00,0.00,0.00
2025-01-02,DL,501,ATL,LAX,1015,1229,314.00,-2.00,6.00,0.00,0.00
2025-01-02,DL,1147,ATL,ORD,1019,1126,127.00,-5.00,-2.00,0.00,0.00
2025-01-02,DL,895,ATL,LAX,1129,1340,311.00,-7.00,-3.00,0.00,0.00
2025-01-02,DL,862,ATL,BOS,1130,1404,154.00,2.00,-20.00,0.00,0.00
2025-01-02,DL,629,ATL,SEA,1149,1436,347.00,11.00,29.00,0.00,0.00
2025-01-02,DL,706,ATL,DEN,1151,1313,202.00,-2.00,4.00,0.00,0.00
